"Season","Episode","Character","Line"
"10","1","Stan","You guys, you guys! Chef is going away. 
"
"10","1","Kyle","Going away? For how long?
"
"10","1","Stan","Forever.
"
"10","1","Stan","Chef said he's been bored, so he joining a group called the Super Adventure Club. 
"
"10","1","Cartman","I'm gonna miss him.  I'm gonna miss Chef and I...and I don't know how to tell him! 
"
"10","1","Stan","Dude, how are we gonna go on? Chef was our fuh...f-ffriend. 
"
"10","1","Randy","Good-bye, Chef! Have a great time with the Super Adventure Club!
"
"10","1","Kyle","Draw two card, fatass.
"
"10","1","Cartman","Reverse to you, Jew. 
"
"10","1","Stan","I'll get it. 
"
"10","1","Stan","He's back!
"
"10","1","Kyle","Yeah!
"
"10","1","Cartman","All right! 
"
"10","1","Kyle","Chef! I can't believe you're back!
"
"10","1","Stan","But are you back for good?
"
"10","1","Randy","Oh, finally! 
"
"10","1","Randy","Ohhh, so have you decided you can still belong to the Super Adventure Club but live here in South Park again?
"
"10","1","Randy","Well, it seems like the Super Adventure Club was just what you needed, Chef. You must be feeling very happy that you found a club to belong to with new friends, but that you can also live here in South Park with all your old friends whom you care for deeply.  Right?
"
"10","1","Randy","Well, come on everybody. I'm sure Chef would like a little time to get moved back in.
"
"10","1","Kyle","Well, I- guess we'll see you in school tomorrow, Chef.
"
"10","1","Stan","Right. Uh, see ya.
"
"10","1","Cartman","Uh, guys? Did Chef seem a little, uh, trippy to you?
"
"10","1","Stan","Well, look. he said he's happier now. Maybe he just needs to rest up a little.
"
"10","1","Kyle","Yeah. I'm sure whatever that Super Adventure Club does is pretty tiring.
"
"10","1","Stan","Yeah, but whatever, I'm just glad he's back for good.
"
"10","1","Cartman","Oh boy oh boy, I can't wait to have Chef's lunch food again.
"
"10","1","Kyle","Yeah. I hope he makes his Salisbury steak with buttered noodles! 
"
"10","1","Stan","What?
"
"10","1","Kyle","Like what?
"
"10","1","Stan","What??
"
"10","1","Kyle","Weirdo. 
"
"10","1","Kyle","Good.
"
"10","1","Cartman","Excuse me?
"
"10","1","Kyle","...Chef?? A-are you okay?
"
"10","1","Stan","Dude, what are you saying??
"
"10","1","Stan","...WHAT??
"
"10","1","Kyle","This doesn't make any sense!
"
"10","1","Stan","No, he's not.
"
"10","1","Stan","No, he's not.
"
"10","1","Butters","What's a pedophile?
"
"10","1","Stan","NO!
"
"10","1","Butters","My Uncle Bud did that to me once! 
"
"10","1","Kyle","Goddammit, Chef isn't like that! Something funny is going on around here!
"
"10","1","Kyle","Chef, the police are asking questions about you!
"
"10","1","Stan","No, Chef, we don't wanna make love to you!
"
"10","1","Kyle","Chef, CHEF! You need to get out of here before you get arrested, all right?!
"
"10","1","Cartman","...Man, I can't believe all this time, Chef just wanted us for sex.
"
"10","1","Kyle","He didn't want us for sex, fatass! Something is making him say those things.
"
"10","1","Kyle","Something must have happened to Chef while he was gone. Maybe he hit his head or, or got stuck in some quantum time vortex.
"
"10","1","Stan","Well look: he spent the last three months with that adventurers' club. Maybe they know what happened to him.
"
"10","1","Cartman","Yeah!
"
"10","1","Kyle","All right, come on guys!
"
"10","1","Cartman","Hey you guys, you know what they call a Jewish woman's boobs? Jewbs. 
"
"10","1","Kyle","Ahh, hi, can we speak to the head guy or something?
"
"10","1","Kyle","Uh, hi. Our friend joined your club a while back, and now he wants to molest kids. 
"
"10","1","Cartman","...Huh?
"
"10","1","Kyle","Well, we thought you went exploring and like, hunting and stuff!
"
"10","1","Kyle","...Dude!
"
"10","1","Stan","NO!!
"
"10","1","Stan","No! 
"
"10","1","Kyle","Dude, what are you doing?!
"
"10","1","Kyle","Just what the hell is that thing?!
"
"10","1","Kyle","HA! I knew it!
"
"10","1","Stan","Knew what?
"
"10","1","Kyle","The reason Chef has been saying those terrible things about us is because he's been brainwashed! By this- fruity little club!
"
"10","1","Cartman","Oh, son of a bitch!
"
"10","1","Stan","You need to see a psychiatrist, Chef. It's for your own good.
"
"10","1","Kyle","All right, come on. 
"
"10","1","Kyle","Hi, uh- our friend has been brainwashed by some fruity little club.
"
"10","1","Stan","Yeah, he joined the Super Adventure Club, and they convinced him having sex with children was okay with a little thing that goes whrrrrrr.
"
"10","1","Stan","No, that's the Adventure Club. The Super Adventure Club has sex with children.
"
"10","1","Cartman","No, Chef has always been super-cool.
"
"10","1","Cartman","So what can we do??
"
"10","1","Kyle","But we don't have years! If Chef keeps this up, he's gonna go to jail forever!
"
"10","1","Stan","Having sex with women.
"
"10","1","Stan","This isn't working.
"
"10","1","Kyle","No thanks. We're trying to unbrainwash our friend.
"
"10","1","Cartman","Come on, bitch! Dance!
"
"10","1","Cartman","Bitch, I'll twist your nuts off!
"
"10","1","Stan","Come on guys, we might as well go. 
"
"10","1","Stan","Chef, we're leaving.
"
"10","1","Stan","He's remembering.
"
"10","1","Cartman","It's okay Chef. Go on, remember!
"
"10","1","Kyle","Come on, Chef! You can do it!
"
"10","1","Stan","Where's Chef?! What have you done with him?!
"
"10","1","Cartman","Look: If you wanna go around the world molesting kids, that's totally fine. But why do you need Chef?!
"
"10","1","Stan","Oh Jesus, here we go.
"
"10","1","Stan","We don't wanna hear it.
"
"10","1","Stan","Immortal.
"
"10","1","Kyle","...Do you realize how retarded that sounds?
"
"10","1","Stan","Yeah, it's way, way more retarded.
"
"10","1","Stan","We're not leaving without Chef.
"
"10","1","Kyle","We're not going anywhere without Chef.
"
"10","1","Kyle","No! Hey!
"
"10","1","Stan","No, you don't understand! They've got our friend in the Deprivation Room!
"
"10","1","Kyle","Sorry, dude, but this fruity little club isn't taking our friend!
"
"10","1","Kyle","Chef, come on!
"
"10","1","Cartman","Kenny! Spin Blossom Nut Squash!
"
"10","1","Stan","Come on, Chef!
"
"10","1","Kyle","Here! 
"
"10","1","Cartman","Run Chef!
"
"10","1","Kyle","Get outside! 
"
"10","1","Stan","We made it!
"
"10","1","Stan","Chef, come on!
"
"10","1","Kyle","Yeah, he wanted adventure! Not a bunch of ridiculous bullcrap! Right Chef?  Chef?
"
"10","1","Stan","Chef, we love you.
"
"10","1","Kyle","No! Chef, they've filled your head with lies! Can't you see that??
"
"10","1","Stan","NO! 
"
"10","1","Cartman","A mountain lion! 
"
"10","1","Kyle","CHEF! 
"
"10","1","Cartman","A grizzly bear!
"
"10","1","Stan","Oh my God... They killed Chef.
"
"10","1","Kyle","You bastards. YOU BASTARDS!
"
"10","1","Cartman","Maybe- maybe he's still okay.  No, really. They say the last thing you do before you die is crap your-
"
"10","1","Cartman","Oh never mind.
"
"10","1","Stan","Come on, let's go. 
"
"10","1","Kyle","We're all here today because Chef has been such an important part of our lives. A lot of us don't agree with the choices Chef has made in the past few days.  Some of us... feel hurt... and confused that he seemed to turn his back on us.  But we can't let the events of the last week take away the memories of how much Chef made us smile.  I'm gonna remember Chef as the jolly old guy who always broke into song.  I'm gonna remember Chef... as the guy who gave us advice to live by.  So you see, we shouldn't be mad at Chef for leaving us. We should be mad at that little fruity club for scrambling his brains.
"
"10","1","Randy","Yeah.
"
"10","1","Kyle","And in the end, I know that somewhere out there... there's the good part of Chef... that's still alive in us all. 
"
"10","2","Kyle","Dad, can we go home? All you ever do since you got this car is drive around and show it off! 
"
"10","2","Kyle","Dad, I think Ike is starving to death. 
"
"10","2","Kyle","What?!
"
"10","2","Kyle","Dad, can we go home, please?
"
"10","2","Kyle","But Dad, I want-
"
"10","2","Stan","Oh hey Kyle.
"
"10","2","Kyle","Aw, hey dude. What are you doing here?
"
"10","2","Stan","Helping my Dad pick out some cool new power tools. What are you doing?
"
"10","2","Kyle","Helping my Dad give people fake tickets. 
"
"10","2","Randy","What's this? 
"
"10","2","Randy","A ticket? ""Failure to care about the environment"" Oh Goddammit, did you do this, Gerald?!
"
"10","2","Randy","You got some nerve, you know that?! Where do you come off ticketing people?!
"
"10","2","Randy","I know it's not a real ticket!!
"
"10","2","Kyle","Dad, let's just go!
"
"10","2","Randy","The problem, Gerald, is that ever since you got a hybrid car, you've gotten so smug that you love the smell of your own farts!
"
"10","2","Randy","And that too! Stop talking with your eyes closed! That's what smug people do!
"
"10","2","Randy","There, like that! Stop that!
"
"10","2","Kyle","Dad.  Dad, Ike and I have been talking, and well, we feel that your new car is changing you.
"
"10","2","Kyle","We're thinking that a lot of people in town starting too... 
"
"10","2","Kyle","...a-are starting to take offense at your actions. We feel like you're starting to become-hmm... 
"
"10","2","Kyle","...star-starting to become alienated from some of your friends.
"
"10","2","Kyle","You do??
"
"10","2","Kyle","Righ!  Okay, good.
"
