"X","X.1"
"SpongeBob","  Look at me, I'm...  ...naked!  Gotta be in top physical condition for today, Gary."
"SpongeBob","  I'm ready!  I'm ready, I'm ready, I'm ready, I'm ready, I'm ready, I'm ready, I'm ready, I'm ready, I'm ready, I'm ready! "
"SpongeBob","  There it is. The finest eating establishment ever established for eating The Krusty Krab, home of the Krabby Patty. With a Help Wanted sign in the window! For years I've been dreaming of this moment! I'm gonna go in there, march straight to the manager, look 'im straight in the eye , lay it on the line and... I can't do this!  Uh, Patrick!"
"Patrick"," Where do you think you're going?"
"SpongeBob"," I was just..."
"Patrick"," No you're not. You're going to the Krusty Krab and get that job!"
"SpongeBob"," I can't, don't you see? I'm not good enough!"
"Patrick"," Whose first words were ""may I take your order""?"
"SpongeBob"," Mine were."
"Patrick"," Who made a spatula out of toothpicks in wood shop?"
"SpongeBob"," I did."
"Patrick","  Who's a, uh who's uhh, oh! Who's a big yellow cube with holes?"
"SpongeBob"," I am!"
"Patrick"," Who's ready?"
"SpongeBob"," I'm ready!"
"Patrick"," Who's ready?"
"SpongeBob"," I'm ready!"
"Patrick"," Who's ready?"
"SpongeBob"," I'm ready! I'm ready! I'm ready! I'm ready! "
"SpongeBob","  I'm ready! I'm ready! I'm ready! I'm ready! I'm ready! I'm ready! Go SpongeBob! Go SpongeBob! Go SpongeBob! Go self! "
"Squidward","  Mr. Krabs!  Hurry, Mr. Krabs, before it's too late, I gotta tell you- "
"SpongeBob"," Permission to come aboard, captain!  I've been training my whole life for the day I could join the Krusty Krew  and now I'm ready.  So, uh, when do I start?"
"SpongeBob"," Mr. Krabs, please. I'll prove I'm fry cook material. Ask Squidward, he'll vouch for me. "
"Squidward","  No. "
"Mr. Krabs"," Well lad, we'll give you a test, and if you pass, you'll be on the Krusty Krew! Go out and fetch me...  a, uh, hydrodynamic spatula...  with, um, port-and-starboard-attachments,  and, uh... turbo drive!  And don't come back till you get one! "
"SpongeBob","  Aye aye, captain!  One hydrodynamic spatula, with port-and-starboard attachments, turbo drive, coming right up, Sir!"
"Mr. Krabs"," Carry on!  We'll never see that lubber again."
"Squidward"," You're terrible! A hydro-what? "
"Mr. Krabs"," That sounded like hatch doors!  Do you smell it? That smell. A kind of smelly smell. A smelly smell that smells... smelly.  Anchovies."
"Squidward"," What?"
"Mr. Krabs"," Anchovies! "
"Squidward"," Please, please, quiet!  Is this any way to behave, hmmm?"
"Squidward"," Could we show a little decency and form a neat, single file line in front of the register? "
"SpongeBob","  Barg'N-Mart, Barg'N-Mart, meeting all of your spatula needs. "
"Mr. Krabs"," All hands on deck! Get your anchors out of your pants!"
"Squidward"," One single file line was all I asked!"
"Mr. Krabs"," Whoa! Batten down the hatches, Mr. Squidward!  We're taking on water, Mr. Squidward!  I want my mommy, Mr. Squidward! "
"SpongeBob","  Do do do do do do, spatula, spatula, port-and-starboard attachments. "
"Squidward"," Help!"
"Mr. Krabs"," Man overboard! Climb, Mr. Squidward! Climb! "
"Mr. Krabs"," This is the end! Good-bye, Mr. Squidward!"
"Squidward"," Oh Mr. Krabs! "
"SpongeBob"," Permission to come aboard captain! Da da da da da da da! Da da da da da da da da da da! Did someone order a spatula? "
"SpongeBob"," That's right! One hydrodynamic spatula with  port-and-starboard attachments, and lets not forget the turbo drive!  Would you believe they only had one in stock? To the kitchen!  Who's hungry?! "
