"Character","Line"
"george"," Are, are you sure this is decaf? Where's the orange indicator?"
"george"," Wait a second, wait a second, what coming in, what woman 
              is coming in?"
"jerry"," I told you about Laura, the girl I met in Michigan?"
"george","  So, ya know, what, what happened?"
"jerry"," Oh, nothing happened, ya know, but is was great."
"george"," So, ya know, she calls and says she wants to go out with 
              you tomorrow night? God bless! Devil you!"
"jerry"," Yeah, well...not exactly. I mean, she said, you know, she 
              called this morning and said she had to come in for a seminar and 
              maybe we'll get together. "
"george"," No...no...no, I hate to tell you this you're not gonna 
              see this woman."
"jerry","  What, are you serious...why, why did she call?"
"george"," You're a back-up, you're a second-line, a just-in-case, 
              a B-plan of contingency!"
"jerry"," Oh, I get it, this is about the button."
"george","  Now, a woman calls me, all right? She says 
              she has to  come 
              to New York on business..."
"jerry"," Oh you are beautiful!  "
"george"," To be polite, I rest my case."
"jerry"," Good. Did you have fun? You have no idea, what you're talking 
              about, now, come on, come with me , I, I gotta go get 
              my stuff out of the dryer anyway."
"george","  Right, 
              I knew I felt something...! "
"george"," What?!"
"jerry"," Laura."
"george"," She calls you today and she doesn't make a plan for tomorrow? 
              What is that? It's Saturday night!"
"jerry"," Yeah."
"george","  I know, I know. 
               Listen, your stuff has to be done by know, why don't 
              you just see if it's dried?"
"jerry"," No no no, don't interrupt the cycle. The machine is working, 
              it, it knows what it's doing, just let it finish."
"george","  Any questions?"
"jerry"," How could she not tell me where she was staying? "
"kramer"," Why even give her an option?"
"george"," Right, can we go? 'Cause I'm double-parked, I'm gonna get 
              a ticket."
"jerry"," Yeah, OK. Oh, wait a second. Oh, I, I forgot to clean the 
              bathroom."
"george"," Yeah, I wish."
"jerry"," Let me just wipe the sink."
"kramer"," ...How's the real estate-business?"
"jerry"," Wouldn't it be great if you could ask a woman what she's 
              thinking?"
"george"," 'Cause it's all in the greeting. "
"jerry"," Uh-huh."
"george"," Ya know a hug definitely good."
"jerry"," Hug is definitely good."
"george"," That's why, ya know, a shake is bad."
"jerry"," Shake is bad, but what if it's the ""two-hander""? 
<!-- BeginAd02 --><!-- EndAd -->
              The hand on the bottom, the hand on the top, the warm look in the 
              eyes?"
"jerry"," It's good to see you."
"jerry"," So uh, what do ya think?"
"elaine"," Oh, lovely..."
"elaine"," Yeah, you met her when we were going out."
"elaine"," Right! In fact... No, never mind..."
"elaine"," A *wedding*!? Have you *lost* it, man?"
"elaine"," Why does he do that?"
"jerry"," So c'mon, do we have a deal?"
"elaine"," It is not necessary."
"elaine"," You were you, but, you weren't you..."
"elaine"," Jerry? Are you listening to me?"
"jerry"," Imagine, spelling ""Mom"" with two O's..."
"elaine"," Y'know, uh, you could use a little work on your manners."
"elaine"," Uh-huh..."
"jerry"," This is what I like, see? You come home and your parents 
              are in your"
"jerry"," I don't care-- I'm sleeping next door."
"jerry"," Well, it's a tough thing to talk about... I dunno..."
"george"," What actress does she remind you of?"
"jerry"," Loni Anderson."
"jerry"," Oh, were meeting a friend of ours for lunch. He works here 
              in the"
"george"," ...And exporter."
"jerry"," He's an importer/exporter."
"george"," They can..."
"jerry"," Y'know I'm sorry you had to leave so early the other night."
"george"," I'll just, uh, get a paper..."
"jerry"," So, um, do you date immature men?"
"kramer"," Hey Morty!  Salad dressing?"
"jerry"," Maybe!"
"kramer"," ""Quo""? That's not a word."
"jerry"," ""Quone""?"
"jerry"," Yeah, yeah..."
"elaine"," Okay..."
"jerry"," No, I'm gonna take my car."
"elaine"," Yeah, obviously."
"elaine"," Great!"
"elaine"," No. A general guy."
"elaine"," I don't think so..."
"elaine"," And... he's *hilarious*."
"jerry"," ...Yes."
"elaine","  OK, so, now, is there anything"
"elaine"," You oughtta least take a look at it."
"elaine"," Listen, Jerry, this place is falling apart. You have"
"george"," Let's not forget the radiator, the steam has been on"
"jerry"," Elaine! [puts his bags down, sits down on the couch,"
"elaine"," They were stolen."
"kramer"," Look, Jerry, I'm sorry, I'm uh, you have insurance,"
"jerry"," Because...I spent my money on the Clapgo D. 29, it's"
"kramer","  I made a mistake."
"elaine","  These things happen"
"jerry"," In your way."
"jerry"," It's a joke."
"jerry","  You would still wanna move in here?"
"elaine"," They deliver it."
"elaine"," You can tip a gardener."
"george"," You don't need a gardener."
"elaine"," Oh damn, this place is incredible, look at all this"
"",""
"elaine"," What?"
"elaine"," OK, uuhh...I'll tell you what...I could go as high as"
"elaine"," $50 dollars, OK? $50 dollars, is that all right?"
"elaine"," I just bought Jerry's couch for $50 dollars."
"jerry"," Well, whatta you wanna do here?"
"george"," I'm good."
"jerry"," Mine!"
"kramer","  Jerry, 
              I think"
"jerry"," Hard to imagine. "
"kramer"," Ya know, very casually, so that he was gonna take me"
"elaine"," So what did he say?"
"jerry"," Ooh, case closed! "
"kramer"," Yeah! "
"jerry"," If only the coin hadn't hit the table."
"elaine"," My roommate starts rehearsal tonight on Carrousel."
"george"," Hi, Carol."
"jerry"," It's wonderful. "
"george"," Nice meeting you. [shakes Carol's hand; they sit down"
"jerry"," How late are the stores open? I'm thinking of maybe uh,"
"george"," You would think that, but either you're born with a sense 
              of humor, or you're not. It's not going to change even if you go 
              from the red sun of Krypton all"
"jerry"," Why? Why would that one area of his mind not be affected 
              by the yellow sun of Earth?"
"elaine"," I dropped a grape."
"george"," Pardon?"
"elaine"," Robert. Yes.. thank you. He has two cats and I'm allergic 
              to them. You know, I finally meet a normal man, and I can't even 
              go into his apartment, you"
"george"," Guys with cats.. I don't know."
"jerry"," I've been thinking about asking this girl I'm, uh, seeing 
              -"
"elaine","  Hey, why don't you take 
              her to that place in Vermont I was telling you about? You know, 
              that really charming place with"
"george","  That's exquisite. Listen, uh, if it's not too 
              much trouble, could you pass me that paper over there?"
"jerry"," You better find that grape before it mutates into another 
              life form.  There was once a mutant grape that terrorized 
              an entire town in the Texas"
"george"," Did you ever meet my friend, Simons?"
"jerry"," Maybe."
"jerry"," What kind of company is it?"
"george","  Five thousand.. ten. Ten thousand.. Five thousand."
"jerry"," Boy.."
"george"," That's it."
"jerry"," Ooohhh.. You know, the whole concept of lunch is based on 
              tuna."
"george"," I'll have the tuna."
"jerry"," You know, my friend told me about this great place in Vermont."
"jerry"," Yeah. We can fish. What? Blues, carp, marlin?"
"jerry"," Is that my paper?"
"kramer"," Sendrax."
"jerry"," Oh, I can't believe it. Let me see that.  
              That's four and a half points in three days! That's almost half 
              my money!"
"kramer"," It's all manipulated with junk bonds. You can't win."
"jerry","  George, what's going on?!"
"kramer"," You know, I can't believe you put your money in that Sendrax. 
              And you could've invested in my roll-out tie dispenser."
"jerry"," Okay."
"kramer","  Hey, where.. where are you going? You 
              gonna take a trip? The map.. what.."
"jerry"," What friends?"
"jerry"," Look, forget about the receipt, all right? Even if I had 
              the receipt- look at it! It's a hand puppet. What am I gonna do 
              with this?!"
"elaine"," I don't know. I can't think of any solution, unless of 
              course they should meet with some unfortunate accident. What do 
              you think a hit man would charge to"
"elaine"," He actually wen to the hospital?"
"jerry"," It's George. "
"kramer"," What a body. Yeeaahh.. that's for me."
"jerry"," What? What? Did you go down there?  Did he 
              tell you what's gonna happen?  
              How long were you there?"
"jerry"," Oh yeah, right.  Oh God. Get me out of here. 
              What a mistake. What made me think this would work? And I've still 
              got another day! I've got"
"jerry"," Well, what do you wnat to do this afternoon?"
"jerry","  Yeah, that's normal.  
              Excuse me, Sir. Could I have a look at that business section?"
"jerry"," Look, Vanessa, of course the market fluctuates. Everybody 
              knows that. I just got fluctuated out of four thousand dollars!"
"jerry","  So, what am I looking at here? Twenty=nine 
              hours to go. Well, at least I got plenty of time to find out the 
              name of that purfume.."
"",""
"elaine"," I gave him an ultimatum. "
"george"," He chose the cats?"
"elaine"," Superman can go back in time?"
"",""
"elaine"," Hey, what are you doing?"
"george"," I'm letting you in."
"elaine"," Why can't you sit in the middle?"
"george"," Please, it doesn't look good. Boy, boy, girl."
"elaine"," Did you get a haircut?"
"jerry","  Oh, it's you again. See? Now if you had answered 
              me, I wouldn't have had to do this. Now that's too long distance 
              calls I made to you why"
"kramer"," No, taste it. Taste it."
"jerry"," I only eat cantaloupe at certain times."
"kramer"," Ah, huh. It's good?"
"jerry"," Good."
"kramer"," Forty-nine cents a pound. That's practically half than 
              what you're paying at the supermarket. I don't know why you don't 
              go to Joe's."
"jerry"," I'm not pulling a shopping cart. What am I suppose to wear? 
              A kerchief? Put stockings on and roll 'em down below my knee?"
"george"," I told her. In the kitchen - which was risky 'cause it's 
              near all the knives. I started with the word ""Listen."""
"jerry"," Ah ha."
"kramer"," I liked Marlene. What's her number?"
"jerry"," So what'd you do?"
"george"," Yeah."
"",""
"jerry"," Hey."
"kramer"," Hips! See, it's all hips."
"jerry"," That is out there."
"kramer"," Well, is it good?"
"jerry"," I'm not taking it back."
"kramer"," Jerry, you should care. Cantaloupe like this should be 
              taken out of circulation."
"kramer","  Oh. Oh, Marlene."
"jerry"," I was. She's got me, like, hypnotized."
"kramer"," Yeah, no kidding."
"jerry"," I don't know how I'm going to tell him."
"kramer"," You're his friend. Better that she should sleep with someone 
              else. Some jerk that he doesn't even know."
"jerry"," I mean, she called me. I haven't called her. She started 
              it."
"jerry"," Well, the apartment elevators are always slower than the 
              offices, because you don't have to be home on time."
"jerry"," Right."
"jerry"," You are the Queen of Confrontation. You're my new hero. 
              In fact, you've inspired me. I'm gonna call George about something 
              right now."
"george"," No, I don't care."
"jerry"," You mean that?"
"george"," I don't know. But I don't. I'm actually almost happy to 
              hear it."
"jerry"," I thought you'd be upset."
"george"," I know, I know."
"jerry"," So I can see her tonight, and you don't care?"
"george","  You paid that crook?!"
"jerry"," I had to."
"george","  I think I swallowed a fly! ..I swallowed a fly! 
              What do I do? What can happen?"
"jerry"," Well, the man's an individualist. He worked for Harry Flemming. 
              He knows what he's doing."
"jerry"," Seriously?"
"jerry"," Right. For reducing the pond scum?"
"jerry","  These peas are bursting with country-fresh 
              flavor."
"jerry"," Yeah, I can't eat dessert either. The sugar makes my ankles 
              swell up, and I can't dance."
"jerry"," No, see, we didn't have ponies. I'm sure at the time in 
              Poland, they were very common. They were probably like compact cars.."
"jerry"," Maybe I will."
"kramer"," Oh, well.. I decided I'm not gonna do it."
"jerry"," Take care."
"jerry"," So, when do I get my dinner?"
"kramer"," There's not bet if I' not doing it."
"jerry"," We didn't bet on if you wanted to. We bet on if it would 
              be done."
"kramer"," But I don't want the levels!"
"jerry"," What?"
"jerry"," It was just an innocent comment! I didn't know she had a 
              pony!"
"jerry"," I've got the softball game on Wednesday. It's the championship."
"jerry"," I mean, who has a funeral on a Wednesday? That's what I 
              want to know. I mean, it's the championship. I'm hitting everything."
"elaine"," How long does a funeral take?"
"elaine"," You know, funerals always make me think about my own mortality 
              and how I'm actually going to die someday. Me, dead. Imagine that."
"george"," They always make me take stock of my life and how I've 
              pretty much wasted all of it, and how I plan to continue wasting 
              it."
"jerry"," I know, and then you say to yourself, ""From this moment 
              on, I'm not going to waste any more of it."" But then you go, 
              ""How? What can I do that's not"
"elaine"," Three hundred a month? Oh my God."
"",""
"jerry","  I just wanted to say how sorry I was.."
"elaine"," Oh, me too."
"elaine"," Oh, you can have mine. I'll ship it out ot you.. but what 
              about that big apartment on West End Avenue?"
"elaine","  Oh, Jeffrey."
"george"," And they in the fifth inning, why did you take off on the 
              pop fly?"
"jerry"," I thought there were two outs."
"jerry"," Wonder about what?"
"elaine"," What? What, you don't want to go now?"
"elaine"," Try it on.  Wow, this is soft suede."
"elaine"," No idea."
"elaine"," Well, it's just a lining. You can always have it changed."
"",""
"kramer"," Hey. New jacket?"
"jerry"," Is it me?"
"kramer"," That's more you than you've ever been.  What is with the pink lining?"
"jerry"," I paid what it costs."
"kramer"," What, you're not gonna tell me?"
"jerry"," Yes, but let's just stop it right there."
"kramer"," Is it over four hundred?"
"jerry"," I know, I know."
"kramer"," Well, are you gonna wear it?"
"jerry"," Do you want it?"
"kramer"," Good karma for you.  Oh baby."
"george"," ""Master of the house.. doling out the charm, ready 
              with a handshake and an open palm. Tells a saucy talke, loves to 
              make a stir everyone appreciates a.."""
"jerry"," What is that song?"
"george"," What are you, Bud Abbott? What, are you calling my an idiot?"
"jerry"," You don't know Rober Schumann? The composer?"
"george"," Yeah, he'll be looking at us like he's backstage at a puppet 
              show."
"jerry"," Let me just get my jacket. "
"george"," ..It's fabulous."
"jerry"," I know."
"george"," Well, I'm going with him. I'd like to, I've never done 
              a solid before."
"george"," Maybe he didn't show up."
"jerry"," What, you don't want to do this?"
"jerry","  I'll have a cranberry juice with two limes."
"george"," I said, do you like ice?"
"george","  I know, I know, that's what they said."
"george","  Oh, he's the comedian."
"jerry"," I'm just a regular person."
"george"," Well, let's just leave."
"jerry"," Elaine'll kill me."
"george"," If she doesn't show up, we can't possibly have dinner with 
              him alone."
"jerry"," How are we gonna get out of it?"
"jerry"," Oh, you didn't.."
"elaine"," Good. 'Cause Dad can make some people a little uncomfortable."
"george"," Where do you come up with this stuff?"
"jerry","  Snow.. snow, that can't be good for suede, can 
              it?"
"george"," It's only a few blocks."
"elaine"," Okay..  Hello.  Listen, thanks again 
              for coming last night. Dad said he had a great time."
"kramer"," Well?.."
"elaine","  I didn't want to tell you this, but usually 
              he hates everyone."
"kramer"," Well, if you're just gonna throw it out, you know, I could 
              take it."
"jerry"," Oh, because of all that singing?"
"jerry","  Yeah, too bad."
"george"," Yeah. We should do this again."
"george"," Yeah, take it easy."
"jerry"," I'm supposed to see her again on Thursday, but can I go 
              out with "
"jerry"," You're still thinking about this?"
"elaine"," Maybe coffee was coffee."
"george"," Coffee's coffee in the morning, it's not coffee at twelve 
              o clock at "
"elaine"," Oh, why? I love it when guys call me the next day."
"george"," Of course you do, but you're imagining a guy you like, 
              not a guy who "
"kramer"," Hey, I just thought of a really funny thing for your act. 
              Alright, "
"jerry"," You're kicking me out of my house?"
"jerry"," After one date you try and improvise on her machine?"
"elaine"," Yeah."
"george"," Somebody did that?"
"jerry"," She'll call you back. You're overreacting."
"george"," Say? What? Nothing, I.. "
"george"," Hello! Alright, we should be going. Come on ."
"george"," I can't believe I said that. You know me, I'm a vault."
"jerry"," Don't worry about it, it wasn't working anyway."
"george"," I lost it."
"jerry"," I can't blame you. I can't believe she never called you 
              back."
"george"," Exactly, but they're on there waiting. She said she can't 
              wait to "
"jerry"," But what about the messages?"
"george"," How do you feel? Confident?"
"jerry"," Feel good."
"george"," I, I couldn't wait. I was too anxious to see you."
"jerry"," Er, you know, why don't you go first, you just had a long 
              trip."
"george"," That took awhile."
"jerry","  Don't get up."
"george"," Let me just see it for a second. Oh my God, it's exactly the 
        same!"
"jerry"," What?"
"george"," What? No dibs! I need this statue. C'mon, give it!"
"jerry","  Spread out, spread out you numbskulls. Why don't 
        you just settle it like mature adults?"
"kramer"," Okay.. start with me."
"kramer"," Do over - start with him."
"jerry"," Alright, c'mon. Let's go."
"jerry","  I gotta get to the airport."
"jerry"," ..Why did I think there was a Rubber Man? There's Elastic Man 
        and Plastic Man."
"jerry"," I had a statue!"
"jerry"," I can't believe it! This guy ripped me off!"
"elaine"," Are you sure?"
"jerry"," I had a statue! What should I do?"
"elaine","  Oh, see you tomarrow morning."
"jerry"," No, I don't eat dinner. Dinner's for suckers. "
"jerry"," Yeah."
"jerry"," No, I actually find you quite charming.. a bit verbose at times."
"jerry"," That's not necessary.  You know, maybe it's not that bad an idea."
"george"," Oh, I'm crazy!"
"jerry","  George, george.."
"elaine"," No, no.. but it is quite a coincidence."
"elaine"," No, there are degrees of coincidences."
"kramer"," Police! Open up!"
"kramer"," Shut up! Keep 'em spread! Just make love to that wall, pervert!"
"kramer"," Yeah, I'm a cop. I'm a good cop. I'm a damn good cop! Today's 
        your lucky day, junior, 'cause I'm gonna let you off with a warning. Any 
        more of this criminal activity, and you'll be sorry. You got me?"
"jerry"," Alright, alright. What's the big hubbub, bub?"
"george"," I feel like a huge weight's been lifted off my shoulders.  
        I.. I.. I feel happy! Kramer, I don't know how to thank you!"
"jerry"," What happened? Levitan?"
"george"," Nobody's hiring now. The market's terrible. "
"jerry"," So what are you gonna do?"
"george"," Well, it doesn't even have to be the general manager. Maybe 
              I could"
"jerry"," Yeah. Yeah. You make good comments."
"george"," Movies. I like to watch movies. "
"jerry"," Yeah. Yeah."
"george"," Right."
"jerry"," And it's probably a union thing."
"george"," Yeah. A couple of people. I don't get that, though. Where 
              do you"
"jerry"," Well, that's where it gets tricky. "
"george"," This could have been a huge mistake."
"jerry"," Well, it doesn't sound like you completely thought this 
              through."
"george"," You mean just walk into the staff meeting on Monday morning 
              like it"
"jerry"," Sure. You're an emotional person. People don't take you 
              seriously. "
"george"," I'm emotional."
"jerry"," That's right. You're emotional."
"george"," What? I work here."
"george"," Yeah. Good weekend."
"jerry"," And what's gonna happen?"
"kramer"," You keep him busy."
"george"," You go over there -"
"elaine"," Oops! 'Scuse me."
"jerry"," What about the gentle cycle? You ever use that? "
"george"," I'm gonna count to three. If you don't give up the chair, 
              the wig"
"jerry"," Yeah. That's true. What? My God, the money! The 1500! Where'd 
              you"
"kramer"," It was about 1200 bucks."
"",""
"elaine"," You're bringing in an 
              outside cucumber?"
"george"," They refuse to put cucumber 
              in the salad. I need cucumber."
"jerry","  
              What have I done? I can't read this! Ful-hel-mo-nen-ter-val? I got 
              up last night, I wrote this down, I thought I had this great bit."
"jerry"," I don't know. That's like 
              asking ""Where's Waldo?"""
"jerry"," Oh, he's having a heart 
              attack."
"george"," Radiating waves of pain.."
"jerry"," I know what this is. You 
              saw that show on PBS last night, Coronary Country.  I 
              saw it in the TV Guide. I called him and told him to make sure"
"george"," Manhattan Memorial, less 
              of a line."
"jerry"," I'll call an ambulance. 
              "
"george","  
              What? Oh my God. What? Is it meningitis? Scoliosis? Lupis?! Is it 
              Lupis?!"
"elaine","  
              Whose tonsils grow back? "
"jerry"," Yeah, if you've been exposed 
              to gamma rays."
"elaine","  Oh, I'm sorry. 
               I just.. have to ask that doctor one more question. 
              "
"george"," Well, what should I do, 
              Kramer?"
"jerry"," Well, for one think, don't 
              listen to him."
"kramer"," No, no, he's out. He 
              got out. See, the medical establishment, see, they tried to frame 
              him. It's all politics. But he's a rebel."
"",""
"elaine"," Uh-huh."
"kramer"," Go ahead, drink it, George."
"george"," My face! My face! Get 
              me to the hospital!"
"george"," My heart! My heart!  Where you going? Are you crazy?!"
"elaine"," Let go of my tongue!"
"george","  She's pregnant? Leslie is pregnant?! Oh, see, 
              there is no justice."
"jerry"," She's the performance artist, right?"
"jerry"," C'mon. He's a third cousin, or something."
"elaine"," Oh, pardon me for trying to set you up with a beautiful, 
              intelligent woman."
"george"," What, you don't think I can attract beautiful, intelligent 
              women?"
"jerry"," Thin ice, George. Thin ice.."
"george"," She dragged me down to that warehouse on the waterfront 
              in Brooklin to see one of her ""performances""."
"jerry"," Oh, and she cooks dinner onstage for some celebrity?"
"george"," And then, then, then she leaves with somebody else! Never 
              even, never even said goodbye! Never called me back.. Never apologized. 
              Nothing. Like I"
"jerry"," What ever happened with the shirt?"
"elaine"," anyone else, never. But, Leslie - I have a problem saying 
              no to. For some reason, I seem to want her approval."
"george"," Let Maria Shriver give her a baby shower."
"jerry"," Ask not what I can do for you - ask what you can do for 
              me."
"elaine","  I do have one teeny little problem, though."
"george"," Never said goodbye. Never apologized. Nothing."
"elaine"," She has this in addition to Epstein-Barr. It's like Epstein-Barr 
              with a twist of Lyme disease."
"elaine"," I guess. She must've rolled over on a tick during the love-in."
"george","  Never said goodbye. Goodbye!"
"jerry"," Explain to me how this baby shower thing works."
"jerry"," When is this suppose to be?"
"george"," Someday, before I die, mark my words - I'm gonna tell that 
              woman exactly what I think of her. I'll never be able to forgive 
              myself until I do."
"jerry"," And if you do?"
"kramer"," What are you doing this for? Look at you.."
"jerry","  Leave me alone."
"kramer"," Oh, so what are you gonna do? You gonna wait for the cable 
              companies to resolve their dispute? They're gonna be in court for 
              years."
"jerry"," Well, they might hook us up again."
"kramer"," Can you hear yourself? Can, can, do you know what you're 
              saying?!"
"jerry"," It's against the law."
"kramer","  Look, will you at least let me 
              bring the guy over? He's an amazing man. He's a Russian immigrant. 
              He escaped the Gulag. He's"
"jerry"," I don't know. What if I get caught?"
"jerry"," Wait a minute. Wait a minute, hold on! We're just patsies. 
              We're just a couple of users.. We never sold the stuff. What about 
              the Russian guy? The Russian"
"jerry"," What's with this airline? What are you, cutting out the 
              drinks now?"
"george","  Forget it."
"jerry"," No, really.. an airport run."
"kramer"," We're putting in cable."
"elaine"," The cable? No, no, no. I'm having a party here. You can't 
              do this now!"
"kramer"," Oh, they're Soviet Cable guys."
"elaine"," Okay.. Does Jerry know about this?"
"kramer","  Anatoly!  Look, it's gonna take a few minutes.. Then, 
              you and the gals can take a"
"jerry"," The show was cancelled. There was a blizzard."
"elaine","  George, don't even 
              think about it! Don't even dream about it!"
"george","  About what?"
"george","  You, I guess, you don't remember me.. but we actually, 
              kind of um.. went out.. a couple of years ago.. once.. remember?"
"jerry"," What do you do at the end of a date when you know you don't 
              want to see this person ever again, for the rest of your life? What 
              do you say? What do you"
"elaine"," No, they've just got to get more cops on the force, it's 
              as simple as"
"george"," Cops. I don't even care about cops. I wanna see more garbage 
              men. It's"
"jerry"," I tell you what they should do, they should combine the 
              two jobs, make"
"elaine"," How many?"
"george"," Excuse me, are you gonna be very long?"
"elaine"," Jerry, get menus so when we sit down we can order right 
              away."
"jerry"," There's a woman over there that looks really familiar. Dark 
              hair,"
"elaine"," I'm sorry."
"jerry"," Well maybe they were here from before."
"elaine"," Yeah."
"jerry"," Seinfeld."
"george"," I don't know her."
"jerry"," She looks so familiar."
"george"," What are they gonna do?"
"jerry"," They won't do anything; in fact, you'll be giving them a 
              story to tell"
"george"," Yeah, well, he probably bought it."
"jerry"," So what happened with Tatiana?"
"george"," Well, it's this little place with this little bathroom. 
              It's like"
"jerry"," This could only happen to you."
"george"," Yeah."
"jerry"," Wow! So...?"
"jerry"," What am I gonna say?"
"jerry"," Where do I know her?"
"jerry"," Oh, you know, working around, same stuff, doing... whatever."
"jerry"," I'm sorry, Lorraine, this is Elaine..."
"elaine"," If there's anything you can do to get us a table we'd really 
              appreciate"
"jerry"," No no no, you see the girl there, with the long hair?"
"elaine"," Oh, who do you think you're going? Do you think that they 
              have big"
"george"," Well was it a woman?"
"george"," Of course I'm not Cartwright! Look, why don't you two just 
              go to the"
"george"," Everybody likes pesto. You walk into a restaurant, that's 
              all you hear - pesto, pesto, pesto."
"jerry"," I don't like pesto."
"george"," That's a tough minute. It's like waiting in the shower 
              for the conditioner to work."
"jerry"," I don't understand why he couldn't take a cab."
"elaine","  Yes, a guy."
"jerry"," Who was in town on a business venture, and um.."
"elaine","  I'm never eating here again."
"elaine"," Oh, I said it in a kidding way."
"george"," I didn't know he'd get fired."
"jerry","  
              He'll probably kill his family over this."
"elaine"," Was it my fault?"
"elaine"," Does the word ""charm"" mean anything to you?"
"elaine"," I would, but I have to pick up Ed at the airport."
"kramer"," Take me where? Where?"
"george"," Look, I really appreciate your coming, but if you wouldn't 
              mind - try not to say too much."
"george"," Yeah.. yeah, we're - we're cool.  
              Uh, I'm sorry to bother"
"kramer"," Let me get a glass of water. "
"kramer"," ..You know, cats run away all the time. You know, my aunt, 
              she had a cat. Ran away. Showed up three years later.. you never 
              know. They got things in"
"elaine"," Ed's downstairs. CAn I have the car keys?"
"elaine"," I heard a little ping in the car last time. What was that 
              ping?"
"elaine"," I've got it all mapped out - I'm taking the tunnel."
"jerry"," Flying doesn't make me nervous - driving to the airport 
              can make you very nervous because when you're flying, when you're 
              getting on the plane, if you miss"
"",""
"elaine"," Yes! 915!"
