"Season","Episode","Character","Line"
"10","1","Stan","Chef said he's been bored, so he joining a group called the Super Adventure Club. 
"
"10","1","Stan","Dude, how are we gonna go on? Chef was our fuh...f-ffriend. 
"
"10","1","Stan","But are you back for good?
"
"10","1","Randy","Ohhh, so have you decided you can still belong to the Super Adventure Club but live here in South Park again?
"
"10","1","Randy","Well, come on everybody. I'm sure Chef would like a little time to get moved back in.
"
"10","1","Kyle","Yeah. I'm sure whatever that Super Adventure Club does is pretty tiring.
"
"10","1","Stan","Yeah, but whatever, I'm just glad he's back for good.
"
"10","1","Stan","What?
"
"10","1","Stan","...WHAT??
"
"10","1","Stan","No, he's not.
"
"10","1","Kyle","Chef, CHEF! You need to get out of here before you get arrested, all right?!
"
"10","1","Cartman","...Man, I can't believe all this time, Chef just wanted us for sex.
"
"10","1","Cartman","Yeah!
"
"10","1","Kyle","Ahh, hi, can we speak to the head guy or something?
"
"10","1","Kyle","Well, we thought you went exploring and like, hunting and stuff!
"
"10","1","Cartman","Oh, son of a bitch!
"
"10","1","Cartman","No, Chef has always been super-cool.
"
"10","1","Stan","This isn't working.
"
"10","1","Cartman","Bitch, I'll twist your nuts off!
"
"10","1","Stan","Immortal.
"
"10","1","Stan","We're not leaving without Chef.
"
"10","1","Kyle","No! Hey!
"
"10","1","Kyle","Chef, come on!
"
"10","1","Cartman","Run Chef!
"
"10","1","Kyle","Yeah, he wanted adventure! Not a bunch of ridiculous bullcrap! Right Chef?  Chef?
"
"10","2","Kyle","Helping my Dad give people fake tickets. 
"
"10","2","Stan","Going away party? What do you mean?
"
"10","2","Stan","Kyle? Kyle!
"
"10","2","Kyle","My Dad says he can't live here anymore.
"
"10","2","Stan","Mr. Broflovski, please. Kyle's my best friend.
"
"10","2","Stan","I will. I will get everyone to drive hybrid cars! I swear it!
"
"10","2","Stan","Well if I have any chance of getting Kyle back, I have to get people to stop driving SUVs!
"
"10","2","Cartman","Why do you want Kyle back?? Don't you see how awesome it is without him?
"
"10","2","Butters","Yeah! I'm a dumb Jew. 
"
"10","2","Stan","What?!
"
"10","2","Kyle","Oh, no thanks. We don't do that stuff.
"
"10","2","Kyle","Well... maybe I'll take just half a hit of acid.
"
"10","2","Stan","I'm gonna try and warn Kyle to get out of San Francisco.
"
