"X","X.1"
"SpongeBob","  I'm ready!  I'm ready, I'm ready, I'm ready, I'm ready, I'm ready, I'm ready, I'm ready, I'm ready, I'm ready, I'm ready! "
"Patrick"," No you're not. You're going to the Krusty Krab and get that job!"
"SpongeBob"," I can't, don't you see? I'm not good enough!"
"Patrick","  Who's a, uh who's uhh, oh! Who's a big yellow cube with holes?"
"SpongeBob"," I am!"
"Patrick"," Who's ready?"
"SpongeBob"," I'm ready! I'm ready! I'm ready! I'm ready! "
"SpongeBob"," Mr. Krabs, please. I'll prove I'm fry cook material. Ask Squidward, he'll vouch for me. "
"Mr. Krabs"," Anchovies! "
"Squidward"," Please, please, quiet!  Is this any way to behave, hmmm?"
"Mr. Krabs"," This is the end! Good-bye, Mr. Squidward!"
"Squidward"," Oh Mr. Krabs! "
"Patrick"," Good morning, Krusty Krew!"
"SpongeBob"," Hooray, land squirrel!  Look out!  Hold on, little squirrel!  You have fought well, giant clam. Prepare to be vanquished! Hai!  Hey, I'm actually doing it.  Your shell is mine!"
"Sandy"," Hold on there, little square dude! "
"SpongeBob"," Oh. Oh yeah? Watch this! "
"Sandy"," I like you, SpongeBob. Why, we could be tighter than bark on a tree. Hi-yah!"
"SpongeBob"," Me too! I love air! Air is good."
"Sandy"," No kidding?"
"Patrick"," Huh?"
"SpongeBob"," I just met this girl! She wears a hat full of... air!"
"Patrick"," Higher!"
"SpongeBob"," Like that?"
"SpongeBob","  Sandy! Sandy! Open up! Sandy! Sandy!  Sandy, something's gone terribly wrong. There's no water in...  ...here."
"Sandy"," Course there's no water. Nuttin' but air."
"Patrick","  When in doubt, pinky out."
"SpongeBob","  I don't need water! Water's for quitters! I don't need it! I don't need it! I don't need it! I don't need it, I don't need it... "
"Sandy"," Why, these flowers are just beautiful!  They'll last much, much longer in a vase full of ice, cold water.  So tell me about yourself.  It must be fascinating being a sea critter.  SpongeBob?  Oh, there's the cookies.  Be right back."
"Patrick","  You can't leave now! You'll blow it!"
"SpongeBob","  Air is not good, Patrick! Air is not good!"
"Patrick"," Wait, no! We've got... to get... out. "
"Sandy"," There, that ought to do it! If y'all needed water, you shoulda' asked.  I propose a toast, to new friends!  Hold on a second.  I hope you like your tea strong. Drink up! "
"Squidward"," Can we lower the volume, please? I can't work with all that racket going on!"
"SpongeBob"," Uh huh!"
"Patrick"," Hmm, how much is it?"
"SpongeBob"," Only a quarter."
