,
French Narrator," Ah, the sea... so fascinating. So wonderful. Here, we see Bikini Bottom, teeming with life.  Home to one of my favorite creatures, SpongeBob SquarePants. Yes, of course he lives in a pineapple, you silly. "
SpongeBob SquarePants," Today's the big day, Gary!"
Gary the Snail, Meow.
SpongeBob,"  Look at me, I'm...  ...naked!  Gotta be in top physical condition for today, Gary."
Gary, Meow.
SpongeBob,"  I'm ready!  I'm ready, I'm ready, I'm ready, I'm ready, I'm ready, I'm ready, I'm ready, I'm ready, I'm ready, I'm ready! "
Patrick Star," Go, SpongeBob!  Whoa! "
SpongeBob,"  There it is. The finest eating establishment ever established for eating The Krusty Krab, home of the Krabby Patty. With a Help Wanted sign in the window! For years I've been dreaming of this moment! I'm gonna go in there, march straight to the manager, look 'im straight in the eye , lay it on the line and... I can't do this!  Uh, Patrick!"
Patrick, Where do you think you're going?
SpongeBob, I was just...
Patrick, No you're not. You're going to the Krusty Krab and get that job!
SpongeBob," I can't, don't you see? I'm not good enough!"
Patrick," Whose first words were ""may I take your order""?"
SpongeBob, Mine were.
Patrick, Who made a spatula out of toothpicks in wood shop?
SpongeBob, I did.
Patrick,"  Who's a, uh who's uhh, oh! Who's a big yellow cube with holes?"
SpongeBob, I am!
Patrick, Who's ready?
SpongeBob, I'm ready!
Patrick, Who's ready?
SpongeBob, I'm ready!
Patrick, Who's ready?
SpongeBob, I'm ready! I'm ready! I'm ready! I'm ready! 
Squidward Tentacles,"  Oh no, SpongeBob. What could he possibly want?"
SpongeBob,  I'm ready! I'm ready! I'm ready! I'm ready! I'm ready! I'm ready! Go SpongeBob! Go SpongeBob! Go SpongeBob! Go self! 
Squidward,"  Mr. Krabs!  Hurry, Mr. Krabs, before it's too late, I gotta tell you- "
SpongeBob," Permission to come aboard, captain!  I've been training my whole life for the day I could join the Krusty Krew  and now I'm ready.  So, uh, when do I start?"
Mr. Eugene H. Krabs," Well lad, it looks like you don't even have your sea legs."
SpongeBob," Mr. Krabs, please. I'll prove I'm fry cook material. Ask Squidward, he'll vouch for me. "
Squidward,  No. 
Mr. Krabs," Well lad, we'll give you a test, and if you pass, you'll be on the Krusty Krew! Go out and fetch me...  a, uh, hydrodynamic spatula...  with, um, port-and-starboard-attachments,  and, uh... turbo drive!  And don't come back till you get one! "
SpongeBob,"  Aye aye, captain!  One hydrodynamic spatula, with port-and-starboard attachments, turbo drive, coming right up, Sir!"
Mr. Krabs, Carry on!  We'll never see that lubber again.
Squidward, You're terrible! A hydro-what? 
Bus driver, Hey! Hey! Please! Passengers are to stay seated and not put their hands out the window! 
Mr. Krabs, That sounded like hatch doors!  Do you smell it? That smell. A kind of smelly smell. A smelly smell that smells... smelly.  Anchovies.
Squidward, What?
Mr. Krabs, Anchovies! 
Squidward," Please, please, quiet!  Is this any way to behave, hmmm?"
Anchovy, Meep!
Squidward," Could we show a little decency and form a neat, single file line in front of the register? "
SpongeBob,"  Barg'N-Mart, Barg'N-Mart, meeting all of your spatula needs. "
Mr. Krabs, All hands on deck! Get your anchors out of your pants!
Squidward, One single file line was all I asked!
Mr. Krabs," Whoa! Batten down the hatches, Mr. Squidward!  We're taking on water, Mr. Squidward!  I want my mommy, Mr. Squidward! "
SpongeBob,"  Do do do do do do, spatula, spatula, port-and-starboard attachments. "
Squidward, Help!
Mr. Krabs," Man overboard! Climb, Mr. Squidward! Climb! "
Anchovies, Meep! Meep!
Mr. Krabs," This is the end! Good-bye, Mr. Squidward!"
Squidward, Oh Mr. Krabs! 
SpongeBob, Permission to come aboard captain! Da da da da da da da! Da da da da da da da da da da! Did someone order a spatula? 
Squidward and Mr. Krabs, 
SpongeBob," That's right! One hydrodynamic spatula with  port-and-starboard attachments, and lets not forget the turbo drive!  Would you believe they only had one in stock? To the kitchen!  Who's hungry?! "
Mr. Krabs," That was the finest fast-foodsmanship I've ever seen, Mr. SquarePants! Welcome aboard! "
Squidward," B-but, but Mr. Krabs..."
Mr. Krabs, Three cheers for SpongeBob! Hip-hip!
Squidward,"  Hooray, Mr.-"
Mr. Krabs, Hip-hip!
Squidward,  Hooray. M-
Mr. Krabs, Hip-hip!
Squidward,  Hooray. Mr. Krabs!
Mr. Krabs," I'll be in my quarters, counting up the booty. "
Patrick," Good morning, Krusty Krew!"
Squidward," What would you like to order, Patrick?"
Patrick," One Krabby Patty, please. "
Patrick, 
Squidward," Mr. Krabs! Mr. Krabs!  Mr. Krabs, come see your new employee!"
SpongeBob,"  Wow, four stingers.  Where have I seen this before?  Here it is!  Land squirrel.  That little squirrel is in trouble. "
Sandy Cheeks," Take that, you sorry old clam! Y'all need to learn some manners!  You're about as ugly as homemade soup."
SpongeBob," Hooray, land squirrel!  Look out!  Hold on, little squirrel!  You have fought well, giant clam. Prepare to be vanquished! Hai!  Hey, I'm actually doing it.  Your shell is mine!"
Sandy," Hold on there, little square dude! "
SpongeBob," Hey, you like karate too!  So, uhh, what's your name?"
Sandy, Sandy.  So what do y'all call yourself?
SpongeBob,  I'm SpongeBob! 
Sandy," Well SpongeBob, take a gander at this! "
SpongeBob, Oh. Oh yeah? Watch this! 
Sandy," I like you, SpongeBob. Why, we could be tighter than bark on a tree. Hi-yah!"
SpongeBob," Uh, I like you too, Sandy. Hi-yah!  Ow. Say, what is that thing on your head?"
Sandy," Why, that's my air helmet."
SpongeBob, May I try it on?
Sandy, Heck no. I need it to breath! I gotta have my air.
SpongeBob, Me too! I love air! Air is good.
Sandy, No kidding?
SpongeBob," Why, ""air"" is my middle name! The more air, the better! Can't get enough of that air."
Sandy, Shee-oot. How about coming over tomorrow for tea and cookies then?  Don't be late!
SpongeBob," Okay, see you tomorrow.  Patrick! Patrick! Patrick, Patrick, Patrick! What's air?"
Patrick, Huh?
SpongeBob, I just met this girl! She wears a hat full of... air!
Patrick," Do you mean she puts on ""airs""?"
SpongeBob, I guess so.
Patrick," That's just fancy talk. If you want to be fancy, hold your pinky up like this! The higher you hold it, the fancier you are!"
SpongeBob,  How's that?
Patrick, Higher!
SpongeBob, Like that?
Patrick," Now that's fancy! They should call you SpongeBob FancyPants!  Remember When in doubt, pinky out. You can do it, SpongeBob. I'll be watching."
SpongeBob, Thanks pal. 
Sandy, Hello?
SpongeBob," Hi-ya, Sandy. Its me, SpongeBob!"
Sandy," Hold on a sec, I'll let you in."
SpongeBob,"  Sandy! Sandy! Open up! Sandy! Sandy!  Sandy, something's gone terribly wrong. There's no water in...  ...here."
Sandy, Course there's no water. Nuttin' but air.
SpongeBob,  No water?
Sandy," That ain't a problem, is it? Hi-yah!"
SpongeBob, Problem?  Hi-yah! That's how I like my air!  With no water.
Sandy,"  Well, alright. I made Texas tea and cookies. Well, come on in! Hi-yah!  That's not in. In!  You're a funny little dude. Come on, I'll give you the grand tour.  This is my own private little air bubble. This air is the driest...  ...purest...  ...most airiest air in the whole sea. Oh, over there's my birdbath.  And that's my oak tree.  It provides me with extra air. This dome is made of the finest polyurethane, that's a fancy word for plastic. Ain't that just the bees knees?  Tell you what, weren't easy getting here neither. First, I...  ...that's my treadmill. That's how I stay in tip-top shape. Well, come on. Lets have that tea now. "
Patrick, Pinky! Pinky!
SpongeBob,  I brought you some flowers.
Sandy,  For me? How sweet!  You okay?
SpongeBob,"  Yes, I'm okay."
Sandy," You know, you're the first sea critter to ever visit."
SpongeBob, I cant imagine why.
Sandy, Can I get you anything?
SpongeBob, Water would be nice.
Sandy, I'm gonna to put these in a vase.
SpongeBob, Take your time.  I gotta get out of here! Aaaaahh! 
Sandy,"  I like you, SpongeBob. We could be tighter than bark on a tree!"
Patrick,"  When in doubt, pinky out."
SpongeBob,"  I don't need water! Water's for quitters! I don't need it! I don't need it! I don't need it! I don't need it, I don't need it... "
Sandy," Why, these flowers are just beautiful!  They'll last much, much longer in a vase full of ice, cold water.  So tell me about yourself.  It must be fascinating being a sea critter.  SpongeBob?  Oh, there's the cookies.  Be right back."
SpongeBob,"  I don't need it, I don't need it, I definitely don't need it.  I don't need it.  I don't need it.  I don't need it.  I don't need it.  I NEED IT!!!!! "
Patrick," No, SpongeBob! No, no, no, stop! Pinky! Pinky!"
SpongeBob,  I'm a quitter! 
Patrick,  You can't leave now! You'll blow it!
SpongeBob,"  Air is not good, Patrick! Air is not good!"
Patrick,"  You're just being shy.  Don't worry, buddy. You're doing fine.  I won't let you blow... this.  What kind of place is this?!  There's no water in here!"
SpongeBob,  I tried to tell you!
Patrick, We've got to get out of here!
SpongeBob, You're... doing it... wrong...
Patrick," Wait, no! We've got... to get... out. "
Sandy,  Come and get it! Y'all gonna like this...
Sandy," There, that ought to do it! If y'all needed water, you shoulda' asked.  I propose a toast, to new friends!  Hold on a second.  I hope you like your tea strong. Drink up! "
All, Ahhh!
SpongeBob,"  Ahh, what a wonderful day. The sun is out, the water is shimmering, scallops are chirping. So peaceful. "
Squidward," Can we lower the volume, please? I can't work with all that racket going on!"
SpongeBob," Oh, sure thing, Squidward."
Squidward, Yes. Mmm. Right. Mmm.
SpongeBob, Okay. 
Squidward," And now... for some soothing sounds from Squidward's clarinet. Thank you, thank you. "
Squidward, I thought I... Wha?
SpongeBob," Hey, Squidward! Wanna blow some bubbles? Only 25 cents."
Squidward," Oh, right. Like I would spend a moment of my time blowing bubbles."
SpongeBob, Uh huh!
Squidward," Oh, puh-lease! I mean, who in the world would pay to blow bubbles? "
Patrick, Good morning! 
Squidward," Oh, boy. "
SpongeBob," Good morning to you, sir. Would you care to blow a bubble?"
Patrick," Hmm, how much is it?"
SpongeBob, Only a quarter.
Patrick," Sounds reasonable.  Uh, I'm going to need to borrow a quarter."
SpongeBob," Sure thing, Patrick. "
Patrick," Ah, one quarter. "
SpongeBob, Thank you. 
Squidward," Hmm, business is booming.  How did I ever get surrounded by such loser neighbors? Uh huh. "
SpongeBob," One bubble wand, dipped and ready to go.  Could I interest you in some lessons? Only 25 cents."
Patrick," Uh, very well, then. Hey, Sponge, can I borrow another quarter?  Thanks. "
SpongeBob," Okay, Patrick, it's all in the technique!  First go like this, spin around. Stop! Double take three times one, two, three. Then pelvic thrust! Whoooo! Whooooooo! Stop on your right foot, don't forget it! Now it's time to bring it around town. Bring-it-a-round-town. Then you do this, then this, and this, and that, and-this-and-that-and-this-and-that, and then... "
Patrick, Oooh.  Ah! 
Squidward, Huh? 
SpongeBob, And now... with two hands! 
Patrick,  It's a giraffe! 
SpongeBob," Excuse me, sir, but we are clo-"
Squidward, Don't give me any of that! How can you two possibly make all this noise just blowing bubbles?!
SpongeBob," We're not just blowing bubbles. We're making bubble art! Watch carefully.  First go like this, spin around. Stop! Double take three times one, two, three. Theeeen pelvic thrust! Whoooo! Whooooooo! Stop on your right foot, don't forget it! Now it's time to bring it around town. Bring-it-a-round-town. Then you do this, then this, and this, and that, and-this-and-that-and-this-and-that, and then... "
Squidward," That's not art. That's just annoying. Blowing bubbles, that's the lamest idea I have ever heard.  You should be ashamed of yourselves.  Bubbles.  Art. "
SpongeBob," That'll be 25 cents, sir."
Squidward," Ah, whoa, what?  Oh... who-who would pay 25 cents to blow bubbles?"
SpongeBob, We also offer lessons for beginners. 
Squidward," Beginners? What could be more simple than blowing a stupid bubble?  Here's your 25 cents!  Watch and learn.  Uhh... wait, wait, wait.  One more time. Here. Wait.  Uhh... Just a mere warm-up. "
SpongeBob," Hey, Squidward, remember the technique.  Squidward, technique! You do this, and this, step back...."
Patrick," Hey! Technique, Squidward!"
SpongeBob," Spin around like thi— Like this...  Look at me, over here, one... two.... yeah, three..."
Patrick, The pelvic woo!
SpongeBob," Look, we're doing the technique! And don't for... Don't forget the ""Woooooo!"" Squidward?"
Patrick, Listen to Sponge!
SpongeBob, Technique! Technique! Technique!
SpongeBob and Patrick,  Technique! Technique! Technique! Technique! Tech- 
